AD:06,Sant Julià de Loria
JP:11:sakado,Saitama:Sakado
JP:11:shiki,Saitama:Shiki
JP:11:shimotoda,Saitama:Shimotoda
JP:11:soka,Saitama:Soka
JP:11:tokorozawa,Saitama:Tokorozawa
JP:11:tsurugashima,Saitama:Tsurugashima
JP:11:wako,Saitama:Wako
JP:11:warabi,Saitama:Warabi
JP:11:yoshikawa,Saitama:Yoshikawa
JP:12,Chiba
JP:12:abiko,Chiba:Abiko
JP:12:chiba,Chiba:Chiba
JP:12:funabashi,Chiba:Funabashi
JP:12:ichihara,Chiba:Ichihara
JP:12:ichikawa,Chiba:Ichikawa
JP:12:inzai,Chiba:Inzai
JP:12:kamagaya,Chiba:Kamagaya
JP:12:kashiwa,Chiba:Kashiwa
JP:12:kimitsu,Chiba:Kimitsu
JP:12:kisarazu,Chiba:Kisarazu
JP:12:kita,Chiba:Kita
JP:12:matsudo,Chiba:Matsudo
JP:12:minato,Chiba:Minato
JP:12:nagareyama,Chiba:Nagareyama
JP:12:narashino,Chiba:Narashino
JP:12:noda,Chiba:Noda
JP:12:oamishirasato,Chiba:Oamishirasato
JP:12:shiroi,Chiba:Shiroi
JP:12:urayasu,Chiba:Urayasu
JP:12:yachiyo,Chiba:Yachiyo
JP:12:yotsukaido,Chiba:Yotsukaido
JP:13,Tokyo
JP:13:adachi,Tokyo:Adachi
JP:13:akasaka,Tokyo:Akasaka
JP:13:akiruno,Tokyo:Akiruno
JP:13:akishima,Tokyo:Akishima
JP:13:aobadai,Tokyo:Aobadai
JP:13:azusawa,Tokyo:Azusawa
JP:13:bunkyo-ku,Tokyo:Bunkyo-ku
JP:13:chiyoda-ku,Tokyo:Chiyoda-ku
JP:13:chofu,Tokyo:Chofu
JP:13:daiba,Tokyo:Daiba
JP:13:edogawa,Tokyo:Edogawa
JP:13:eharacho,Tokyo:Eharacho
JP:13:fuchu,Tokyo:Fuchu
JP:13:fussa,Tokyo:Fussa
JP:13:gohongi,Tokyo:Gohongi
JP:13:hachiōji,Tokyo:Hachiōji
JP:13:hamura,Tokyo:Hamura
JP:13:hasune,Tokyo:Hasune
JP:13:higashiazabu,Tokyo:Higashiazabu
JP:13:higashigaoka,Tokyo:Higashigaoka
JP:13:higashikurume,Tokyo:Higashikurume
JP:13:higashimurayama,Tokyo:Higashimurayama
JP:13:higashinakano,Tokyo:Higashinakano
JP:13:higashiogu,Tokyo:Higashiogu
JP:13:hino,Tokyo:Hino
JP:13:inagi,Tokyo:Inagi
JP:13:jiyugaoka,Tokyo:Jiyugaoka
JP:13:kagurazaka,Tokyo:Kagurazaka
JP:13:kaigan,Tokyo:Kaigan
JP:13:kamiitabashi,Tokyo:Kamiitabashi
JP:13:kamimeguro,Tokyo:Kamimeguro
JP:13:kamiochiai,Tokyo:Kamiochiai
JP:13:kamitakada,Tokyo:Kamitakada
JP:13:kasumigaseki,Tokyo:Kasumigaseki
JP:13:katsushika,Tokyo:Katsushika
JP:13:kitashinjuku,Tokyo:Kitashinjuku
JP:13:kodaira,Tokyo:Kodaira
JP:13:koganei,Tokyo:Koganei
JP:13:kokubunji,Tokyo:Kokubunji
JP:13:komae,Tokyo:Komae
JP:13:komone,Tokyo:Komone
JP:13:konan,Tokyo:Konan
JP:13:koto,Tokyo:Koto
JP:13:kunitachi,Tokyo:Kunitachi
JP:13:machida,Tokyo:Machida
JP:13:maenocho,Tokyo:Maenocho
JP:13:midorigaoka,Tokyo:Midorigaoka
JP:13:minamiaoyama,Tokyo:Minamiaoyama
JP:13:minamisenju,Tokyo:Minamisenju
JP:13:mita,Tokyo:Mita
JP:13:mitaka,Tokyo:Mitaka
JP:13:motoazabu,Tokyo:Motoazabu
JP:13:musashino,Tokyo:Musashino
JP:13:nakadai,Tokyo:Nakadai
JP:13:narimasu,Tokyo:Narimasu
JP:13:nerima,Tokyo:Nerima
JP:13:nishiazabu,Tokyo:Nishiazabu
JP:13:nishinippori,Tokyo:Nishinippori
JP:13:nishiochiai,Tokyo:Nishiochiai
JP:13:nishishinjuku,Tokyo:Nishishinjuku
JP:13:nishitokyo,Tokyo:Nishitokyo
JP:13:nishiwaseda,Tokyo:Nishiwaseda
JP:13:oharacho,Tokyo:Oharacho
JP:13:ookayama,Tokyo:Ookayama
JP:13:roppongi,Tokyo:Roppongi
JP:13:setagaya-ku,Tokyo:Setagaya-ku
JP:13:shiba,Tokyo:Shiba
JP:13:shibaura,Tokyo:Shibaura
JP:13:shimomeguro,Tokyo:Shimomeguro
JP:13:shimura,Tokyo:Shimura
JP:13:shinagawa,Tokyo:Shinagawa
JP:13:shinjuku,Tokyo:Shinjuku
JP:13:shirokane,Tokyo:Shirokane
JP:13:shirokanedai,Tokyo:Shirokanedai
JP:13:suginami-ku,Tokyo:Suginami-ku
JP:13:sumida,Tokyo:Sumida
JP:13:tabata-shinmachi,Tokyo:Tabata-shinmachi
JP:13:tachikawa,Tokyo:Tachikawa
JP:13:taito,Tokyo:Taito
JP:13:takaban,Tokyo:Takaban
JP:13:takadanobaba,Tokyo:Takadanobaba
JP:13:takanawa,Tokyo:Takanawa
JP:13:takashimadaira,Tokyo:Takashimadaira
JP:13:takinogawa,Tokyo:Takinogawa
JP:13:tama,Tokyo:Tama
JP:13:tokyo,Tokyo:Tokyo
JP:13:tomihisacho,Tokyo:Tomihisacho
JP:13:toshima,Tokyo:Toshima
JP:13:toshincho,Tokyo:Toshincho
JP:13:urayasu,Tokyo:Urayasu
JP:13:yayoicho,Tokyo:Yayoicho
JP:13:yutenji,Tokyo:Yutenji
JP:14,Kanagawa
JP:14:atsugi,Kanagawa:Atsugi
JP:14:ayase,Kanagawa:Ayase
JP:14:chigasaki,Kanagawa:Chigasaki
JP:14:ebina,Kanagawa:Ebina
JP:14:fujisawa,Kanagawa:Fujisawa
JP:14:hadano,Kanagawa:Hadano
JP:14:hiratsuka,Kanagawa:Hiratsuka
JP:14:isehara,Kanagawa:Isehara
JP:14:kamakura,Kanagawa:Kamakura
JP:14:kawasaki,Kanagawa:Kawasaki
JP:14:nakano,Kanagawa:Nakano
JP:14:ninomiya,Kanagawa:Ninomiya
JP:14:odawara,Kanagawa:Odawara
JP:14:oiso,Kanagawa:Oiso
JP:14:sagamihara,Kanagawa:Sagamihara
JP:14:sakurakabu,Kanagawa:Sakurakabu
JP:14:shinjuku,Kanagawa:Shinjuku
JP:14:yokohama,Kanagawa:Yokohama
JP:14:yokosuka,Kanagawa:Yokosuka
JP:14:zama,Kanagawa:Zama
JP:14:zushi,Kanagawa:Zushi
JP:15,Niigata
JP:15:itoigawa,Niigata:Itoigawa
JP:15:joetsu,Niigata:Joetsu
JP:15:minamiuonuma,Niigata:Minamiuonuma
JP:15:niigata,Niigata:Niigata
JP:15:sado,Niigata:Sado
JP:15:shibata,Niigata:Shibata
JP:15:tokamachi,Niigata:Tokamachi
JP:16,Toyama
JP:16:himi,Toyama:Himi
JP:16:imizu,Toyama:Imizu
JP:16:takaoka,Toyama:Takaoka
JP:16:toyama,Toyama:Toyama
JP:17,Ishikawa
JP:17:kaga,Ishikawa:Kaga
JP:17:kahoku,Ishikawa:Kahoku
JP:17:kanazawa,Ishikawa:Kanazawa
JP:17:komatsu,Ishikawa:Komatsu
JP:17:nanao,Ishikawa:Nanao
JP:17:nomi,Ishikawa:Nomi
JP:17:nonoichi,Ishikawa:Nonoichi
JP:18,Fukui
JP:18:echizen,Fukui:Echizen
JP:18:fukui-shi,Fukui:Fukui-shi
JP:19,Yamanashi
JP:19:fujiyoshida,Yamanashi:Fujiyoshida
JP:19:hokuto,Yamanashi:Hokuto
JP:19:kofu,Yamanashi:Kofu
JP:19:koshu,Yamanashi:Koshu
JP:19:minami alps-shi,Yamanashi:Minami Alps-shi
JP:19:ochiai,Yamanashi:Ochiai
JP:19:uenohara,Yamanashi:Uenohara
JP:19:yamanashi,Yamanashi:Yamanashi
JP:20,Nagano
JP:20:azumino,Nagano:Azumino
JP:20:ichiba,Nagano:Ichiba
JP:20:iida,Nagano:Iida
JP:20:ina,Nagano:Ina
JP:20:itabashi,Nagano:Itabashi
JP:20:komoro,Nagano:Komoro
JP:20:matsumoto,Nagano:Matsumoto
JP:20:miyada,Nagano:Miyada
JP:20:miyota,Nagano:Miyota
JP:20:nagano,Nagano:Nagano
JP:20:okaya,Nagano:Okaya
JP:20:shiojiri,Nagano:Shiojiri
JP:20:suwa,Nagano:Suwa
JP:20:suzaka,Nagano:Suzaka
JP:20:ueda,Nagano:Ueda
JP:21,Gifu
JP:21:ena,Gifu:Ena
JP:21:gero,Gifu:Gero
JP:21:gifu city,Gifu:Gifu City
JP:21:gujo,Gifu:Gujo
JP:21:kakamigahara,Gifu:Kakamigahara
JP:21:kani,Gifu:Kani
JP:21:minokamo,Gifu:Minokamo
JP:21:mitake,Gifu:Mitake
JP:21:ogaki,Gifu:Ogaki
JP:21:sekimachi,Gifu:Sekimachi
JP:21:tajimi-shi,Gifu:Tajimi-shi
JP:22,Shizuoka
JP:22:atami,Shizuoka:Atami
JP:22:fuji,Shizuoka:Fuji
JP:22:fujieda,Shizuoka:Fujieda
JP:22:fujinomiya,Shizuoka:Fujinomiya
JP:22:gotenba,Shizuoka:Gotenba
JP:22:hamamatsu,Shizuoka:Hamamatsu
JP:22:mishima,Shizuoka:Mishima
JP:22:numazu,Shizuoka:Numazu
JP:22:shizuoka,Shizuoka:Shizuoka
JP:22:yaizu,Shizuoka:Yaizu
JP:23,Aichi
JP:23:agui,Aichi:Agui
JP:23:anjo,Aichi:Anjo
JP:23:chita,Aichi:Chita
JP:23:handa,Aichi:Handa
JP:23:hekinan,Aichi:Hekinan
JP:23:ichinomiya,Aichi:Ichinomiya
JP:23:inazawa,Aichi:Inazawa
JP:23:kariya,Aichi:Kariya
JP:23:kasugai,Aichi:Kasugai
JP:23:kitanagoya,Aichi:Kitanagoya
JP:23:komaki,Aichi:Komaki
JP:23:nagakute,Aichi:Nagakute
JP:23:nagoya,Aichi:Nagoya
JP:23:nishio,Aichi:Nishio
JP:23:nisshin,Aichi:Nisshin
JP:23:obu,Aichi:Obu
JP:23:okazaki,Aichi:Okazaki
JP:23:owariasahi,Aichi:Owariasahi
JP:23:seto,Aichi:Seto
JP:23:shinshiro,Aichi:Shinshiro
JP:23:tahara,Aichi:Tahara
JP:23:taketoyo,Aichi:Taketoyo
JP:23:tokoname,Aichi:Tokoname
JP:23:toyohashi,Aichi:Toyohashi
JP:23:toyokawa,Aichi:Toyokawa
JP:23:toyota,Aichi:Toyota
JP:23:yatomi,Aichi:Yatomi
JP:24,Mie
JP:24:iga,Mie:Iga
JP:24:iinancho-yokono,Mie:Iinancho-yokono
JP:24:ise,Mie:Ise
JP:24:kameyama,Mie:Kameyama
JP:24:kihoku,Mie:Kihoku
JP:24:matsusaka,Mie:Matsusaka
JP:24:shima,Mie:Shima
JP:24:suzuka,Mie:Suzuka
JP:24:toba,Mie:Toba
JP:24:tsu,Mie:Tsu
JP:24:yokkaichi,Mie:Yokkaichi
JP:25,Shiga
JP:25:higashiomi,Shiga:Higashiomi
JP:25:hikone,Shiga:Hikone
JP:25:koka,Shiga:Koka
JP:25:kusatsu,Shiga:Kusatsu
JP:25:moriyama,Shiga:Moriyama
JP:25:nagahama,Shiga:Nagahama
JP:25:omihachiman,Shiga:Omihachiman
JP:25:ritto,Shiga:Ritto
JP:25:Ōtsu,Shiga:Ōtsu
JP:26,Kyoto
JP:26:joyo,Kyoto:Joyo
JP:26:kameoka,Kyoto:Kameoka
JP:26:kizugawa,Kyoto:Kizugawa
JP:26:kyotanabe,Kyoto:Kyotanabe
JP:26:kyoto,Kyoto:Kyoto
JP:26:muko,Kyoto:Muko
JP:26:uji,Kyoto:Uji
JP:26:yawata,Kyoto:Yawata
JP:27,Ōsaka
JP:27:daitocho,Ōsaka:Daitocho
JP:27:fujiidera,Ōsaka:Fujiidera
JP:27:habikino,Ōsaka:Habikino
JP:27:higashiosaka,Ōsaka:Higashiosaka
JP:27:hirakata,Ōsaka:Hirakata
JP:27:ibaraki,Ōsaka:Ibaraki
JP:27:ikeda,Ōsaka:Ikeda
JP:27:izumi,Ōsaka:Izumi
JP:27:izumiotsu,Ōsaka:Izumiotsu
JP:27:izumisano,Ōsaka:Izumisano
JP:27:kadoma,Ōsaka:Kadoma
JP:27:kaizuka,Ōsaka:Kaizuka
JP:27:kishiwada,Ōsaka:Kishiwada
JP:27:minoh,Ōsaka:Minoh
JP:27:moriguchi,Ōsaka:Moriguchi
JP:27:neyagawa,Ōsaka:Neyagawa
JP:27:osaka,Ōsaka:Osaka
JP:27:sakai,Ōsaka:Sakai
JP:27:suita,Ōsaka:Suita
JP:27:takatsuki,Ōsaka:Takatsuki
JP:27:tondabayashi,Ōsaka:Tondabayashi
JP:27:toyonaka,Ōsaka:Toyonaka
JP:27:yao,Ōsaka:Yao
JP:28,Hyōgo
JP:28:akashi,Hyōgo:Akashi
JP:28:amagasaki,Hyōgo:Amagasaki
JP:28:ashiya,Hyōgo:Ashiya
JP:28:himeji,Hyōgo:Himeji
JP:28:itami,Hyōgo:Itami
JP:28:kakogawa,Hyōgo:Kakogawa
JP:28:kawanishi,Hyōgo:Kawanishi
JP:28:kobe,Hyōgo:Kobe
JP:28:miki,Hyōgo:Miki
JP:28:nishinomiya,Hyōgo:Nishinomiya
JP:28:ono,Hyōgo:Ono
JP:28:sandacho,Hyōgo:Sandacho
JP:28:takarazuka,Hyōgo:Takarazuka
JP:28:toyooka,Hyōgo:Toyooka
JP:29,Nara
JP:29:ikoma,Nara:Ikoma
JP:29:kashiba,Nara:Kashiba
JP:29:nara,Nara:Nara
JP:29:ouda-yamaguchi,Nara:Ouda-yamaguchi
JP:29:tenri,Nara:Tenri
JP:29:yamatokoriyama,Nara:Yamatokoriyama
JP:29:yamatotakada-shi,Nara:Yamatotakada-shi
JP:30,Wakayama
JP:30:arida,Wakayama:Arida
JP:30:gobo,Wakayama:Gobo
JP:30:hashimoto,Wakayama:Hashimoto
JP:30:kinokawa,Wakayama:Kinokawa
JP:30:wakayama,Wakayama:Wakayama
JP:31,Tottori
JP:31:kurayoshi,Tottori:Kurayoshi
JP:31:sakaiminato,Tottori:Sakaiminato
JP:31:tottori-shi,Tottori:Tottori-shi
JP:31:yonago,Tottori:Yonago
JP:32,Shimane
JP:32:matsue,Shimane:Matsue
JP:32:odacho-oda,Shimane:Odacho-oda
JP:33,Okayama
JP:33:ibara,Okayama:Ibara
JP:33:kasaoka,Okayama:Kasaoka
JP:33:kurashiki,Okayama:Kurashiki
JP:33:okayama,Okayama:Okayama
JP:33:soja,Okayama:Soja
JP:33:takahashi,Okayama:Takahashi
JP:33:tsuyama,Okayama:Tsuyama
JP:34,Hiroshima
JP:34:fukuyama,Hiroshima:Fukuyama
JP:34:hatsukaichi,Hiroshima:Hatsukaichi
JP:34:higashihiroshima,Hiroshima:Higashihiroshima
JP:34:hiroshima,Hiroshima:Hiroshima
JP:34:kure,Hiroshima:Kure
JP:34:mihara,Hiroshima:Mihara
JP:34:miyoshi,Hiroshima:Miyoshi
JP:34:uwajima,Hiroshima:Uwajima
JP:35,Yamaguchi
JP:35:iwakuni,Yamaguchi:Iwakuni
JP:35:shimonoseki,Yamaguchi:Shimonoseki
JP:35:ube,Yamaguchi:Ube
JP:35:yamaguchi,Yamaguchi:Yamaguchi
JP:36,Tokushima
JP:36:anan,Tokushima:Anan
JP:36:komatsushimacho,Tokushima:Komatsushimacho
JP:36:narutocho-mitsuishi,Tokushima:Narutocho-mitsuishi
JP:36:tokushima,Tokushima:Tokushima
JP:37,Kagawa
JP:37:sakaidecho,Kagawa:Sakaidecho
JP:37:tadotsu,Kagawa:Tadotsu
JP:37:takamatsu,Kagawa:Takamatsu
JP:37:utazu,Kagawa:Utazu
JP:38,Ehime
JP:38:imabari-shi,Ehime:Imabari-shi
JP:38:matsuyama,Ehime:Matsuyama
JP:38:niihama,Ehime:Niihama
JP:38:seiyo,Ehime:Seiyo
JP:38:toon,Ehime:Toon
JP:39,Kochi
JP:39:kochi,Kochi:Kochi
JP:39:nakamura,Kochi:Nakamura
JP:39:sukumo,Kochi:Sukumo
JP:39:susaki,Kochi:Susaki
JP:40,Fukuoka
JP:40:fukuoka,Fukuoka:Fukuoka
JP:40:higashikoendai,Fukuoka:Higashikoendai
JP:40:iizuka,Fukuoka:Iizuka
JP:40:kanda,Fukuoka:Kanda
JP:40:kasuga,Fukuoka:Kasuga
JP:40:kitakyushu,Fukuoka:Kitakyushu
JP:40:koga,Fukuoka:Koga
JP:40:kurume,Fukuoka:Kurume
JP:40:nogata,Fukuoka:Nogata
JP:40:okawa,Fukuoka:Okawa
JP:40:onojo,Fukuoka:Onojo
JP:40:tagawa,Fukuoka:Tagawa
JP:40:yamaguchi,Fukuoka:Yamaguchi
JP:41,Saga
JP:41:kanzakimachi-kanzaki,Saga:Kanzakimachi-kanzaki
JP:41:kashima,Saga:Kashima
JP:41:minobaru,Saga:Minobaru
JP:41:saga,Saga:Saga
JP:42,Nagasaki
JP:42:isahaya,Nagasaki:Isahaya
JP:42:nagasaki,Nagasaki:Nagasaki
JP:42:omura,Nagasaki:Omura
JP:42:sasebo,Nagasaki:Sasebo
JP:43,Kumamoto
JP:43:honmachi,Kumamoto:Honmachi
JP:43:kumamoto,Kumamoto:Kumamoto
JP:43:tamana,Kumamoto:Tamana
JP:44,Oita
JP:44:beppu,Oita:Beppu
JP:44:saiki,Oita:Saiki
JP:44:tsukumiura,Oita:Tsukumiura
JP:44:yufu-shi,Oita:Yufu-shi
JP:44:Ōita,Oita:Ōita
JP:45,Miyazaki
JP:45:miyakonojo,Miyazaki:Miyakonojo
JP:45:miyazaki,Miyazaki:Miyazaki
JP:46,Kagoshima
JP:46:iwayadomari,Kagoshima:Iwayadomari
JP:46:kagoshima,Kagoshima:Kagoshima
JP:46:kanoya,Kagoshima:Kanoya
JP:46:miyanoura,Kagoshima:Miyanoura
JP:46:nakanokami,Kagoshima:Nakanokami
JP:47,Okinawa
JP:47:chatan,Okinawa:Chatan
JP:47:ginowan,Okinawa:Ginowan
JP:47:ishigaki,Okinawa:Ishigaki
JP:47:itoman,Okinawa:Itoman
JP:47:miyakojima,Okinawa:Miyakojima
JP:47:nago,Okinawa:Nago
JP:47:naha,Okinawa:Naha
JP:47:nishihara,Okinawa:Nishihara
JP:47:okinawa,Okinawa:Okinawa
JP:47:tomigusuku,Okinawa:Tomigusuku
JP:47:urasoe,Okinawa:Urasoe
JP:47:uruma,Okinawa:Uruma
KE:30,Nairobi Province
KE:30:nairobi,Nairobi Province:Nairobi
KG:GB,Gorod Bishkek
KG:GB:bishkek,Gorod Bishkek:Bishkek
KH:1,Banteay Meanchey
KH:12,Phnom Penh
KH:12:phnom penh,Phnom Penh:Phnom Penh
KH:17,Siem Reap
KH:17:siem reab,Siem Reap:Siem Reab
KH:1:poipet,Banteay Meanchey:Poipet
KN:03,Saint George Basseterre
KN:03:basseterre,Saint George Basseterre:Basseterre
KR:11,Seoul
KR:11:dongdaemun-gu,Seoul:Dongdaemun-gu
KR:11:dongjak-gu,Seoul:Dongjak-gu
KR:11:eunpyeong-gu,Seoul:Eunpyeong-gu
KR:11:gangbuk-gu,Seoul:Gangbuk-gu
KR:11:gangdong-gu,Seoul:Gangdong-gu
KR:11:gangnam-gu,Seoul:Gangnam-gu
KR:11:geumcheon-gu,Seoul:Geumcheon-gu
KR:11:guro-gu,Seoul:Guro-gu
KR:11:gwanak-gu,Seoul:Gwanak-gu
KR:11:gwangjin-gu,Seoul:Gwangjin-gu
KR:11:jongno-gu,Seoul:Jongno-gu
KR:11:jungnang-gu,Seoul:Jungnang-gu
KR:11:mapo-gu,Seoul:Mapo-gu
KR:11:nowon-gu,Seoul:Nowon-gu
KR:11:seocho-gu,Seoul:Seocho-gu
KR:11:seodaemun-gu,Seoul:Seodaemun-gu
KR:11:seongbuk-gu,Seoul:Seongbuk-gu
KR:11:seoul,Seoul:Seoul
KR:11:songpa-dong,Seoul:Songpa-dong
KR:11:yangcheon-gu,Seoul:Yangcheon-gu
KR:11:yeongdeungpo-dong,Seoul:Yeongdeungpo-dong
KR:11:yeongdeungpo-gu,Seoul:Yeongdeungpo-gu
KR:11:yongsan-gu,Seoul:Yongsan-gu
KR:26,Busan
KR:26:busan,Busan:Busan
KR:26:haeundae,Busan:Haeundae
KR:27,Daegu
KR:27:daegu,Daegu:Daegu
KR:28,Incheon
KR:28:incheon,Incheon:Incheon
KR:29,Gwangju
KR:29:gwangju,Gwangju:Gwangju
KR:30,Daejeon
KR:30:daejeon,Daejeon:Daejeon
KR:31,Ulsan
KR:31:nam-gu,Ulsan:Nam-gu
KR:31:ulsan,Ulsan:Ulsan
KR:41,Gyeonggi-do
KR:41:ansan-si,Gyeonggi-do:Ansan-si
KR:41:anseong,Gyeonggi-do:Anseong
KR:41:anyang-si,Gyeonggi-do:Anyang-si
KR:41:bucheon-si,Gyeonggi-do:Bucheon-si
KR:41:dongducheon-si,Gyeonggi-do:Dongducheon-si
KR:41:gimpo-si,Gyeonggi-do:Gimpo-si
KR:41:goyang-si,Gyeonggi-do:Goyang-si
KR:41:gunpo,Gyeonggi-do:Gunpo
KR:41:guri-si,Gyeonggi-do:Guri-si
KR:41:gwangju,Gyeonggi-do:Gwangju
KR:41:gwangmyeong-si,Gyeonggi-do:Gwangmyeong-si
KR:41:hanam,Gyeonggi-do:Hanam
KR:41:hwaseong-si,Gyeonggi-do:Hwaseong-si
KR:41:icheon-si,Gyeonggi-do:Icheon-si
KR:41:namyangju,Gyeonggi-do:Namyangju
KR:41:osan,Gyeonggi-do:Osan
KR:41:paju,Gyeonggi-do:Paju
KR:41:pocheon-si,Gyeonggi-do:Pocheon-si
KR:41:pyeongtaek-si,Gyeonggi-do:Pyeongtaek-si
KR:41:seongnam-si,Gyeonggi-do:Seongnam-si
KR:41:siheung-si,Gyeonggi-do:Siheung-si
KR:41:suwon,Gyeonggi-do:Suwon
KR:41:uijeongbu-si,Gyeonggi-do:Uijeongbu-si
KR:41:uiwang,Gyeonggi-do:Uiwang
KR:41:yangju,Gyeonggi-do:Yangju
KR:41:yeoju,Gyeonggi-do:Yeoju
KR:41:yongin-si,Gyeonggi-do:Yongin-si
KR:42,Gangwon-do
KR:42:chuncheon,Gangwon-do:Chuncheon
KR:42:gangneung,Gangwon-do:Gangneung
KR:42:hwacheon,Gangwon-do:Hwacheon
KR:42:inje,Gangwon-do:Inje
KR:42:kosong,Gangwon-do:Kosong
KR:42:pyeongchang,Gangwon-do:Pyeongchang
KR:42:samcheok,Gangwon-do:Samcheok
KR:42:sokcho,Gangwon-do:Sokcho
KR:42:taebaek-si,Gangwon-do:Taebaek-si
KR:42:tonghae,Gangwon-do:Tonghae
KR:42:wonju,Gangwon-do:Wonju
KR:42:yangyang,Gangwon-do:Yangyang
KR:43,North Chungcheong
KR:43:cheongju-si,North Chungcheong:Cheongju-si
KR:43:chungju,North Chungcheong:Chungju
KR:43:eumseong-gun,North Chungcheong:Eumseong-gun
KR:43:jecheon,North Chungcheong:Jecheon
KR:43:jungpyong,North Chungcheong:Jungpyong
KR:44,Chungcheongnam-do
KR:44:asan,Chungcheongnam-do:Asan
KR:44:boryeong-si,Chungcheongnam-do:Boryeong-si
KR:44:cheonan,Chungcheongnam-do:Cheonan
KR:44:gongju,Chungcheongnam-do:Gongju
KR:44:nonsan,Chungcheongnam-do:Nonsan
KR:44:seosan city,Chungcheongnam-do:Seosan City
KR:44:taian,Chungcheongnam-do:Taian
KR:44:tangjin,Chungcheongnam-do:Tangjin
KR:44:yesan,Chungcheongnam-do:Yesan
KR:44:yongin,Chungcheongnam-do:Yongin
KR:45,Jeollabuk-do
KR:45:changsu,Jeollabuk-do:Changsu
KR:45:gimje-si,Jeollabuk-do:Gimje-si
KR:45:gunsan,Jeollabuk-do:Gunsan
KR:45:iksan,Jeollabuk-do:Iksan
KR:45:jeongeup,Jeollabuk-do:Jeongeup
KR:45:jeonju,Jeollabuk-do:Jeonju
KR:45:koch'ang,Jeollabuk-do:Koch'ang
KR:45:muju,Jeollabuk-do:Muju
KR:45:nangen,Jeollabuk-do:Nangen
KR:45:wanju,Jeollabuk-do:Wanju
KR:46,Jeollanam-do
KR:46:gwangyang,Jeollanam-do:Gwangyang
KR:46:haenam,Jeollanam-do:Haenam
KR:46:koyo,Jeollanam-do:Koyo
KR:46:mokpo,Jeollanam-do:Mokpo
KR:46:naju,Jeollanam-do:Naju
KR:46:suncheon,Jeollanam-do:Suncheon
KR:46:yeonggwang,Jeollanam-do:Yeonggwang
KR:46:yeosu,Jeollanam-do:Yeosu
KR:47,Gyeongsangbuk-do
KR:47:andong,Gyeongsangbuk-do:Andong
KR:47:gimcheon,Gyeongsangbuk-do:Gimcheon
KR:47:gumi,Gyeongsangbuk-do:Gumi
KR:47:gyeongju,Gyeongsangbuk-do:Gyeongju
KR:47:gyeongsan-si,Gyeongsangbuk-do:Gyeongsan-si
KR:47:mungyeong,Gyeongsangbuk-do:Mungyeong
KR:47:pohang,Gyeongsangbuk-do:Pohang
KR:47:sangju,Gyeongsangbuk-do:Sangju
KR:47:ulchin,Gyeongsangbuk-do:Ulchin
KR:47:yeongcheon-si,Gyeongsangbuk-do:Yeongcheon-si
KR:47:yeongju,Gyeongsangbuk-do:Yeongju
KR:48,Gyeongsangnam-do
KR:48:changwon,Gyeongsangnam-do:Changwon
KR:48:geoje,Gyeongsangnam-do:Geoje
KR:48:gimhae,Gyeongsangnam-do:Gimhae
KR:48:goseong,Gyeongsangnam-do:Goseong
KR:48:jinju,Gyeongsangnam-do:Jinju
KR:48:koch'ang,Gyeongsangnam-do:Koch'ang
KR:48:miryang,Gyeongsangnam-do:Miryang
KR:48:namhae,Gyeongsangnam-do:Namhae
KR:48:sacheon-si,Gyeongsangnam-do:Sacheon-si
KR:48:sancheong-gun,Gyeongsangnam-do:Sancheong-gun
KR:48:tongyeong-si,Gyeongsangnam-do:Tongyeong-si
KR:48:yangsan,Gyeongsangnam-do:Yangsan
KR:49,Jeju-do
KR:49:jeju city,Jeju-do:Jeju City
KR:49:seogwipo,Jeju-do:Seogwipo
KR:50,Sejong-si
KR:50:sejong,Sejong-si:Sejong
KW:HA,Hawalli
KW:HA:hawalli,Hawalli:Hawalli
KW:JA,Muhafazat al Jahra'
KW:JA:al hujayjah,Muhafazat al Jahra':Al Hujayjah
KW:KU,Al Asimah
KW:KU:kuwait city,Al Asimah:Kuwait City
KZ:AKM,Aqmola Oblysy
KZ:AKM:atbasar,Aqmola Oblysy:Atbasar
KZ:AKM:kökshetaū,Aqmola Oblysy:Kökshetaū
KZ:AKT,Aktyubinskaya Oblast'
KZ:AKT:aktobe,Aktyubinskaya Oblast':Aktobe
KZ:ALA,Almaty
KZ:ALA:almaty,Almaty:Almaty
KZ:ALM,Almaty Oblysy
KZ:ALM:taldykorgan,Almaty Oblysy:Taldykorgan
KZ:AST,Astana Qalasy
KZ:AST:astana,Astana Qalasy:Astana
KZ:ATY,Atyrau Oblysy
KZ:ATY:atyrau,Atyrau Oblysy:Atyrau
KZ:KAR,Karaganda
KZ:KAR:karaganda,Karaganda:Karaganda
KZ:KAR:temirtau,Karaganda:Temirtau
KZ:KUS,Qostanay Oblysy
KZ:KUS:kostanay,Qostanay Oblysy:Kostanay
KZ:MAN,Mangistauskaya Oblast'
KZ:MAN:aktau,Mangistauskaya Oblast':Aktau
KZ:PAV,Pavlodar Region
KZ:PAV:pavlodar,Pavlodar Region:Pavlodar
KZ:SEV,North Kazakhstan
KZ:SEV:petropavl,North Kazakhstan:Petropavl
KZ:SHY,Shymkent
KZ:SHY:shymkent,Shymkent:Shymkent
KZ:VOS,East Kazakhstan
KZ:VOS:ridder,East Kazakhstan:Ridder
